virus,season,model,beta,alpha,lower.ci,upper.ci,spark,lower.ci,upper.ci,ll,aic
influenza,2023-2024,1,0,0.000107,0.0000985,0.000115468,0.0000317,0.00000487,0.000205924,-2932.123,5868.246
influenza,2023-2024,1,0.5,0.00331,0.00306,0.003582989,0.0000327,0.00000518,0.000205898,-2923.46,5850.92
influenza,2023-2024,1,1,0.0873,0.0806,0.094502703,0.0000393,0.000007,0.00022064,-2916.715,5837.431
influenza,2023-2024,1,1.5,1.82,1.68,1.975771633,0.0000651,0.0000162,0.000260989,-2917.938,5839.876
influenza,2023-2024,1,2,28.27586734,26.1,30.7,0.000148791,0.0000612,0.000362,-2948.268,5900.536
influenza,2023-2024,2,0,0.0000224,0.0000207,0.0000242,0.000028,0.00000421,0.000186,-2897.327,5798.654
influenza,2023-2024,2,0.5,0.000692951,0.00064,0.000750132,2.89289E-05,0.00000445,0.000188076,-2889.368,5782.736
influenza,2023-2024,2,1,0.0182,0.0169,0.019755394,0.0000347,0.00000589,0.000204264,-2883.617,5771.235
influenza,2023-2024,2,1.5,0.381,0.35167473,0.412610714,0.0000572,1.34141E-05,0.000243837,-2885.897,5775.794
influenza,2023-2024,2,2,5.911049444,5.45,6.411207526,0.000131573,0.0000519,0.000333727,-2917.259,5838.519
influenza,2024-2025,1,0,0.000142072,0.000131312,0.000153714,1.81987E-05,2.63406E-06,0.000125735,-2779.039,5562.079
influenza,2024-2025,1,0.5,4.338*10^-3,4.0095*10^-3,0.00469,1.747*10^-5,2.4923*10^-6,0.000122,-2785.95,5575.896
influenza,2024-2025,1,1,0.1123,0.10388,0.122,1.84^-5,2.639*10^-6,0.000128,-2791.376,5586.751
influenza,2024-2025,1,1.5,2.323854,2.147533,2.514651589,2.37084E-05,3.57356E-06,0.00015729,-2798.18,5600.361
influenza,2024-2025,1,2,36.35582,33.57077,39.37191,5.29965E-05,1.227E-05,0.000228903,-2827.263,5658.526
