hsa_id,hsa_name,total_population,weighted_lat,weighted_lon
1,"Allegany (Cumberland), MD - Garrett, MD",96067,39.59384748,-78.86896175
2,"Kenton (Covington), KY - Campbell, KY",453465,38.92026835,-84.56739841
3,"Sussex, DE - Kent, DE",443230,38.84065717,-75.46559523
4,"Hartford (Hartford), CT - Tolland, CT","1,165,704",41.82,-72.57
5,"Newport News City, VA - Hampton City, VA",550294,37.17615848,-76.52448211
6,"Currituck, NC",30601,36.405,-76.0079
7,"Kanawha (Charleston), WV - Putnam, WV",294996,38.35153203,-81.51245119
8,"Schuylkill, PA - Northumberland, PA",334345,40.80309257,-76.58243114
9,"Cumberland (Portland), ME - Knox, ME",423214,43.90385263,-70.15929868
10,"Albany (Albany), NY - Rensselaer, NY",477350,42.63744902,-73.81778558
11,"Floyd, KY - Johnson, KY",68906,37.67553793,-82.82607818
12,"Massac, IL - Johnson, IL",27241,37.33713871,-88.79269456
13,"Pike, KY",56727,37.4691,-82.3958
14,"Roanoke City, VA - Roanoke, VA",513483,37.29027258,-79.68196314
15,"Grafton, NH - Sullivan, NH",135835,43.75423502,-71.94994808
16,"Baltimore, MD - Baltimore City, MD",2628167,39.27112443,-76.6865336
17,"Penobscot (Bangor), ME - Hancock, ME",259764,45.22505797,-68.50531351
18,"Fayette (Lexington-Fayette), KY - Jessamine, KY",597795,37.94944541,-84.30235051
19,"Broome (Binghamton), NY - Tioga, NY",245242,42.16217122,-75.91458947
20,"New London, CT","268,555",41.47,-72.1
21,"Ontario (Geneva), NY - Wayne, NY",261000,42.92897633,-77.12729991
22,"Middlesex, MA - Suffolk (Boston), MA",3955727,42.26820653,-71.1436311
23,"Camden (Camden), NJ - Burlington, NJ",1367291,39.79922792,-74.91931334
24,"Belmont, OH - Monroe, OH",78700,39.96732901,-81.00436568
25,"Frederick, VA - Shenandoah, VA",224593,39.07049483,-78.28531341
26,"Centre (State College), PA - Clearfield, PA",281075,40.97425189,-78.18702076
27,"Boyle, KY - Lincoln, KY",111955,37.58523483,-84.78039541
28,"Philadelphia (Philadelphia), PA - Montgomery, PA",4221802,40.08291096,-75.2938851
29,"Warren, KY - Logan, KY",234917,36.95688748,-86.47418589
30,"Alleghany Cnty & Clifton Forge Cty, VA - Covington City, VA",24639,37.83073462,-79.95761434
31,"Monongalia, WV - Marion, WV",213719,39.55039257,-80.03757016
32,"Hampden (Springfield), MA - Hampshire, MA",624843,42.18828447,-72.63994978
33,"Henrico (Richmond), VA - Chesterfield, VA",1333998,37.51515902,-77.48900344
34,"Washington, OH",58978,39.4553,-81.4953
35,"Cattaraugus, NY - Allegany, NY",123304,42.25196566,-78.42974124
36,"Bergen, NJ - Hudson (Jersey City), NJ",2201651,40.90595792,-74.1281413
37,"Pulaski, KY - Wayne, KY",102366,36.98551713,-84.61001668
38,"Kennebec, ME - Somerset, ME",217959,44.68464474,-69.69739841
39,"Tazewell, VA - Buchanan, VA",65238,37.16799572,-81.66118312
40,"Henderson (Henderson), KY - Union, KY",57540,37.76413639,-87.65874202
41,"Westchester (Yonkers), NY - Dutchess, NY",1578605,41.37677293,-73.81132154
42,"Allegheny (Pittsburgh), PA - Westmoreland, PA",2101919,40.51859803,-79.86650208
43,"Dauphin (Harrisburg), PA - Cumberland, PA",748341,40.31481671,-76.92154908
44,"Lycoming (Williamsport), PA - Clinton, PA",151287,41.31606717,-77.20790989
45,"Christian (Hopkinsville), KY - Hopkins, KY",200023,37.08286091,-87.49267436
46,"Boyd, KY - Greenup, KY",136857,38.32067975,-82.80969971
47,"Lackawanna (Scranton), PA - Wayne, PA",267408,41.47734031,-75.5505591
48,"Frederick, MD",287048,39.4722,-77.398
49,"Chittenden (Burlington), VT - Franklin, VT",265510,44.48515018,-73.06365197
50,"Randolph, WV - Barbour, WV",57438,38.85015399,-79.89184091
51,"Laurel, KY - Whitley, KY",149689,36.98634117,-84.01826746
52,"Venango, PA - Clarion, PA",93695,41.32625258,-79.58686437
53,"Barren, KY - Hart, KY",86235,37.01148973,-85.85736688
54,"Erie (Buffalo), NY - Monroe, NY",2113742,42.95720958,-78.30257677
55,"Wise, VA - Lee, VA",74658,36.92166595,-82.72046664
56,"Onondaga (Syracuse), NY - Oswego, NY",664184,43.07059906,-76.22582977
57,"Cambria, PA - Blair (Altoona), PA",373127,40.32637062,-78.62776166
58,"Otsego, NY - Chenango, NY",180965,42.48320703,-75.06650343
59,"Oneida (Utica), NY - Madison, NY",356209,43.20939193,-75.4005744
60,"Raleigh, WV - Fayette, WV",145072,37.80909471,-81.21426261
61,"District of Columbia, DC",681294,38.9047,-77.0163
62,"Madison, KY - Rockcastle, KY",139053,37.64786016,-84.22513818
63,"Rockingham, VA - Harrisonburg City, VA",160719,38.50361746,-78.81722877
64,"Atlantic (Atlantic City), NJ - Cape May, NJ",371211,39.39380835,-74.69690182
65,"Steuben, NY - Chemung (Elmira), NY",192297,42.22526796,-77.07087088
66,"Essex (Newark), NJ - Middlesex, NJ",2663428,40.61659023,-74.36344548
67,"Rowan, KY - Morgan, KY",52168,38.0810681,-83.35332824
68,"Bristol (New Bedford), MA",582270,41.7972,-71.1145
69,"Fairfax, VA - Arlington, VA",2013801,38.89542222,-77.31814817
70,"Montgomery, VA - Pulaski, VA",194259,37.12528041,-80.58595497
71,"Halifax with South Boston City, VA - Mecklenburg, VA",76171,36.76053058,-78.59688714
72,"Washington (Hagerstown), MD",155709,39.6036,-77.814
73,"Alleghany, NC",11174,36.4916,-81.127
74,"Essex (Lynn), MA",813054,42.6732,-70.9524
75,"New Castle (Wilmington), DE",577961,39.5768,-75.6527
76,"Fulton, NY - Montgomery (Amsterdam), NY",102015,43.01111734,-74.4306962
77,"Petersburg City, VA - Prince George, VA",145147,37.16266723,-77.34199452
78,"Luzerne (Wilkes-Barre), PA - Columbia, PA",419004,41.17812804,-76.05577906
79,"Henry, VA - Patrick, VA",81150,36.68181208,-79.96081308
80,"St. Lawrence, NY - Jefferson, NY",248873,44.21376751,-75.50314494
81,"Clinton, NY - Franklin, NY",162162,44.55864364,-73.87987036
82,"Taylor, KY - Adair, KY",75076,37.19317523,-85.28464111
