"hsa_nci_id","breakpoint","early.ci","late.ci","time.to.outcome","early.tto","late.tto","outcome"
805,"09/06/2023","9/3/2023","9/10/2023",319,316,323,1
616,"09/07/2023","9/1/2023","9/12/2023",320,314,325,1
564,"09/12/2023","9/1/2023","9/23/2023",325,314,336,1
290,"09/14/2023","9/6/2023","9/22/2023",327,319,335,1
603,"09/15/2023","9/12/2023","9/18/2023",328,325,331,1
793,"09/17/2023","9/7/2023","9/27/2023",330,320,340,1
143,"09/19/2023","9/13/2023","9/26/2023",332,326,339,1
637,"09/19/2023","9/9/2023","9/29/2023",332,322,342,1
584,"09/20/2023","9/15/2023","9/25/2023",333,328,338,1
900,"09/20/2023","9/17/2023","9/23/2023",333,330,336,1
176,"09/27/2023","9/25/2023","9/28/2023",340,338,341,1
55,"09/27/2023","9/5/2023","10/20/2023",340,318,363,1
523,"09/28/2023","9/24/2023","10/2/2023",341,337,345,1
444,"09/29/2023","9/23/2023","10/4/2023",342,336,347,1
222,"10/01/2023","9/25/2023","10/8/2023",344,338,351,1
455,"10/01/2023","9/26/2023","10/6/2023",344,339,349,1
508,"10/01/2023","9/29/2023","10/3/2023",344,342,346,1
39,"10/02/2023","9/23/2023","10/11/2023",345,336,354,1
18,"10/03/2023","9/26/2023","10/9/2023",346,339,352,1
332,"10/03/2023","9/27/2023","10/10/2023",346,340,353,1
725,"10/03/2023","9/29/2023","10/7/2023",346,342,350,1
11,"10/04/2023","9/30/2023","10/7/2023",347,343,350,1
234,"10/04/2023","10/2/2023","10/6/2023",347,345,349,1
430,"10/04/2023","9/30/2023","10/9/2023",347,343,352,1
482,"10/04/2023","9/29/2023","10/8/2023",347,342,351,1
249,"10/05/2023","9/27/2023","10/14/2023",348,340,357,1
27,"10/05/2023","9/28/2023","10/13/2023",348,341,356,1
481,"10/05/2023","10/2/2023","10/7/2023",348,345,350,1
279,"10/08/2023","9/30/2023","10/16/2023",351,343,359,1
474,"10/08/2023","10/5/2023","10/12/2023",351,348,355,1
478,"10/08/2023","10/2/2023","10/14/2023",351,345,357,1
114,"10/09/2023","10/5/2023","10/13/2023",352,348,356,1
217,"10/09/2023","10/7/2023","10/11/2023",352,350,354,1
223,"10/09/2023","10/6/2023","10/12/2023",352,349,355,1
335,"10/09/2023","10/7/2023","10/11/2023",352,350,354,1
417,"10/09/2023","10/6/2023","10/12/2023",352,349,355,1
51,"10/09/2023","10/6/2023","10/12/2023",352,349,355,1
931,"10/09/2023","10/6/2023","10/12/2023",352,349,355,1
145,"10/10/2023","10/4/2023","10/15/2023",353,347,358,1
319,"10/10/2023","9/30/2023","10/20/2023",353,343,363,1
363,"10/10/2023","9/28/2023","10/21/2023",353,341,364,1
365,"10/10/2023","10/5/2023","10/15/2023",353,348,358,1
405,"10/10/2023","10/7/2023","10/13/2023",353,350,356,1
491,"10/10/2023","10/8/2023","10/12/2023",353,351,355,1
576,"10/10/2023","10/7/2023","10/12/2023",353,350,355,1
587,"10/10/2023","10/3/2023","10/17/2023",353,346,360,1
895,"10/10/2023","10/2/2023","10/18/2023",353,345,361,1
2,"10/11/2023","10/7/2023","10/16/2023",354,350,359,1
232,"10/11/2023","10/8/2023","10/14/2023",354,351,357,1
425,"10/11/2023","10/6/2023","10/16/2023",354,349,359,1
462,"10/11/2023","10/7/2023","10/16/2023",354,350,359,1
671,"10/11/2023","10/8/2023","10/15/2023",354,351,358,1
896,"10/11/2023","10/6/2023","10/17/2023",354,349,360,1
899,"10/11/2023","10/7/2023","10/15/2023",354,350,358,1
169,"10/12/2023","10/10/2023","10/15/2023",355,353,358,1
252,"10/12/2023","10/8/2023","10/16/2023",355,351,359,1
633,"10/12/2023","10/4/2023","10/20/2023",355,347,363,1
646,"10/12/2023","10/8/2023","10/16/2023",355,351,359,1
827,"10/12/2023","10/3/2023","10/20/2023",355,346,363,1
888,"10/14/2023","9/27/2023","11/1/2023",357,340,375,1
144,"10/15/2023","10/4/2023","10/27/2023",358,347,370,1
146,"10/16/2023","10/13/2023","10/18/2023",359,356,361,1
151,"10/16/2023","10/12/2023","10/20/2023",359,355,363,1
228,"10/16/2023","10/11/2023","10/22/2023",359,354,365,1
324,"10/16/2023","10/10/2023","10/22/2023",359,353,365,1
373,"10/16/2023","10/14/2023","10/19/2023",359,357,362,1
424,"10/16/2023","10/10/2023","10/22/2023",359,353,365,1
531,"10/16/2023","10/13/2023","10/19/2023",359,356,362,1
601,"10/16/2023","10/13/2023","10/20/2023",359,356,363,1
89,"10/16/2023","10/13/2023","10/19/2023",359,356,362,1
902,"10/16/2023","10/10/2023","10/21/2023",359,353,364,1
921,"10/16/2023","10/12/2023","10/20/2023",359,355,363,1
12,"10/17/2023","10/13/2023","10/21/2023",360,356,364,1
123,"10/17/2023","10/13/2023","10/21/2023",360,356,364,1
164,"10/17/2023","10/9/2023","10/24/2023",360,352,367,1
208,"10/17/2023","10/10/2023","10/24/2023",360,353,367,1
277,"10/17/2023","10/14/2023","10/20/2023",360,357,363,1
325,"10/17/2023","10/14/2023","10/21/2023",360,357,364,1
339,"10/17/2023","10/13/2023","10/22/2023",360,356,365,1
361,"10/17/2023","10/13/2023","10/20/2023",360,356,363,1
406,"10/17/2023","10/13/2023","10/22/2023",360,356,365,1
439,"10/17/2023","10/14/2023","10/19/2023",360,357,362,1
463,"10/17/2023","10/13/2023","10/21/2023",360,356,364,1
503,"10/17/2023","10/15/2023","10/20/2023",360,358,363,1
536,"10/17/2023","10/12/2023","10/21/2023",360,355,364,1
554,"10/17/2023","10/15/2023","10/20/2023",360,358,363,1
62,"10/17/2023","10/13/2023","10/21/2023",360,356,364,1
866,"10/17/2023","10/13/2023","10/21/2023",360,356,364,1
188,"10/18/2023","10/15/2023","10/21/2023",361,358,364,1
275,"10/18/2023","10/15/2023","10/21/2023",361,358,364,1
301,"10/18/2023","10/14/2023","10/22/2023",361,357,365,1
321,"10/18/2023","10/14/2023","10/22/2023",361,357,365,1
331,"10/18/2023","10/12/2023","10/24/2023",361,355,367,1
358,"10/18/2023","10/14/2023","10/21/2023",361,357,364,1
364,"10/18/2023","10/14/2023","10/22/2023",361,357,365,1
37,"10/18/2023","10/14/2023","10/21/2023",361,357,364,1
40,"10/18/2023","10/12/2023","10/23/2023",361,355,366,1
413,"10/18/2023","10/12/2023","10/23/2023",361,355,366,1
577,"10/18/2023","10/13/2023","10/23/2023",361,356,366,1
809,"10/18/2023","10/7/2023","10/29/2023",361,350,372,1
856,"10/18/2023","10/14/2023","10/22/2023",361,357,365,1
867,"10/18/2023","10/15/2023","10/20/2023",361,358,363,1
913,"10/18/2023","10/14/2023","10/21/2023",361,357,364,1
240,"10/19/2023","10/15/2023","10/23/2023",362,358,366,1
334,"10/19/2023","10/15/2023","10/22/2023",362,358,365,1
415,"10/19/2023","10/11/2023","10/27/2023",362,354,370,1
512,"10/19/2023","10/16/2023","10/22/2023",362,359,365,1
592,"10/19/2023","10/13/2023","10/26/2023",362,356,369,1
631,"10/19/2023","10/15/2023","10/22/2023",362,358,365,1
649,"10/19/2023","10/15/2023","10/23/2023",362,358,366,1
861,"10/19/2023","10/12/2023","10/26/2023",362,355,369,1
929,"10/19/2023","10/15/2023","10/23/2023",362,358,366,1
82,"10/20/2023","10/11/2023","10/28/2023",363,354,371,1
624,"10/21/2023","10/12/2023","10/30/2023",364,355,373,1
801,"10/21/2023","10/10/2023","11/1/2023",364,353,375,1
96,"10/21/2023","10/14/2023","10/27/2023",364,357,370,1
382,"10/22/2023","10/19/2023","10/26/2023",365,362,369,1
387,"10/22/2023","10/16/2023","10/28/2023",365,359,371,1
551,"10/22/2023","10/16/2023","10/27/2023",365,359,370,1
621,"10/22/2023","10/15/2023","10/28/2023",365,358,371,1
769,"10/22/2023","10/19/2023","10/26/2023",365,362,369,1
182,"10/23/2023","10/17/2023","10/30/2023",366,360,373,1
218,"10/23/2023","10/18/2023","10/29/2023",366,361,372,1
31,"10/23/2023","10/21/2023","10/25/2023",366,364,368,1
312,"10/23/2023","10/19/2023","10/28/2023",366,362,371,1
322,"10/23/2023","10/20/2023","10/26/2023",366,363,369,1
342,"10/23/2023","10/16/2023","10/29/2023",366,359,372,1
389,"10/23/2023","10/19/2023","10/28/2023",366,362,371,1
458,"10/23/2023","10/19/2023","10/26/2023",366,362,369,1
54,"10/23/2023","10/18/2023","10/27/2023",366,361,370,1
630,"10/23/2023","10/19/2023","10/27/2023",366,362,370,1
7,"10/23/2023","10/17/2023","10/29/2023",366,360,372,1
708,"10/23/2023","10/19/2023","10/26/2023",366,362,369,1
729,"10/23/2023","10/10/2023","11/5/2023",366,353,379,1
829,"10/23/2023","10/17/2023","10/29/2023",366,360,372,1
882,"10/23/2023","10/20/2023","10/27/2023",366,363,370,1
