hsa_nci_id,breakpoint,early.ci,late.ci,time.to.outcome,early.tto,late.tto,outcome
1,11/23/2022,11/18/2022,11/28/2022,32,27,37,1
1,6/13/2023,6/7/2023,6/20/2023,234,228,241,1
1,7/18/2024,7/14/2024,7/22/2024,635,631,639,1
1,6/26/2025,6/13/2025,7/10/2025,978,965,992,1
1,11/4/2025,10/31/2025,11/9/2025,1109,1105,1114,1
10,12/1/2022,11/27/2022,12/5/2022,40,36,44,1
10,7/25/2023,7/18/2023,8/1/2023,276,269,283,1
10,11/21/2023,11/16/2023,11/26/2023,395,390,400,1
10,6/13/2024,6/7/2024,6/19/2024,600,594,606,1
10,11/12/2024,11/10/2024,11/15/2024,752,750,755,1
10,7/30/2025,7/26/2025,8/2/2025,1012,1008,1015,1
10,11/6/2025,11/3/2025,11/10/2025,1111,1108,1115,1
101,12/5/2022,12/1/2022,12/9/2022,44,40,48,1
101,7/21/2023,7/10/2023,7/31/2023,272,261,282,1
101,11/21/2023,11/16/2023,11/25/2023,395,390,399,1
101,6/25/2024,6/22/2024,6/29/2024,612,609,616,1
101,10/30/2024,10/26/2024,11/4/2024,739,735,744,1
101,7/17/2025,7/6/2025,7/28/2025,999,988,1010,1
101,11/10/2025,11/6/2025,11/15/2025,1115,1111,1120,1
102,4/25/2023,4/13/2023,5/7/2023,185,173,197,1
102,10/30/2023,10/27/2023,11/2/2023,373,370,376,1
102,6/23/2024,6/14/2024,7/3/2024,610,601,620,1
102,10/15/2024,10/12/2024,10/18/2024,724,721,727,1
102,6/24/2025,6/18/2025,6/30/2025,976,970,982,1
102,11/25/2025,11/20/2025,11/29/2025,1130,1125,1134,1
103,11/23/2022,11/21/2022,11/24/2022,32,30,33,1
103,5/24/2023,5/12/2023,6/5/2023,214,202,226,1
103,11/2/2023,10/30/2023,11/5/2023,376,373,379,1
103,6/26/2024,6/22/2024,6/29/2024,613,609,616,1
103,11/11/2024,11/6/2024,11/17/2024,751,746,757,1
103,12/6/2025,11/11/2025,12/31/2025,1141,1116,1166,1
104,12/1/2022,11/27/2022,12/5/2022,40,36,44,1
104,7/10/2023,7/4/2023,7/17/2023,261,255,268,1
104,10/31/2023,10/27/2023,11/4/2023,374,370,378,1
104,7/2/2024,6/27/2024,7/6/2024,619,614,623,1
104,10/22/2024,10/18/2024,10/25/2024,731,727,734,1
104,7/22/2025,7/18/2025,7/26/2025,1004,1000,1008,1
104,10/30/2025,10/26/2025,11/2/2025,1104,1100,1107,1
105,11/22/2022,11/15/2022,11/30/2022,31,24,39,1
105,7/31/2023,7/24/2023,8/6/2023,282,275,288,1
105,11/2/2023,10/27/2023,11/7/2023,376,370,381,1
105,4/29/2024,4/20/2024,5/9/2024,555,546,565,1
105,10/30/2024,10/27/2024,11/3/2024,739,736,743,1
105,3/4/2025,3/2/2025,3/7/2025,864,862,867,1
105,6/24/2025,6/16/2025,7/3/2025,976,968,985,1
105,10/20/2025,10/15/2025,10/24/2025,1094,1089,1098,1
106,1/28/2023,12/26/2022,3/2/2023,98,65,131,1
106,8/9/2023,8/6/2023,8/12/2023,291,288,294,1
106,10/24/2023,10/19/2023,10/30/2023,367,362,373,1
106,5/27/2024,5/17/2024,6/6/2024,583,573,593,1
106,10/28/2024,10/24/2024,11/1/2024,737,733,741,1
106,6/11/2025,6/4/2025,6/17/2025,963,956,969,1
106,10/22/2025,10/14/2025,10/31/2025,1096,1088,1105,1
107,7/18/2023,7/12/2023,7/24/2023,269,263,275,1
107,12/5/2023,11/27/2023,12/12/2023,409,401,416,1
107,4/17/2024,4/10/2024,4/24/2024,543,536,550,1
107,11/6/2024,11/1/2024,11/12/2024,746,741,752,1
107,6/15/2025,6/8/2025,6/22/2025,967,960,974,1
107,11/23/2025,11/17/2025,11/30/2025,1128,1122,1135,1
108,11/23/2022,11/21/2022,11/25/2022,32,30,34,1
108,7/24/2023,7/18/2023,7/29/2023,275,269,280,1
108,11/17/2023,11/11/2023,11/22/2023,391,385,396,1
108,6/18/2024,6/12/2024,6/24/2024,605,599,611,1
108,11/19/2024,11/15/2024,11/22/2024,759,755,762,1
108,8/5/2025,7/31/2025,8/10/2025,1018,1013,1023,1
108,11/4/2025,10/30/2025,11/9/2025,1109,1104,1114,1
109,11/17/2022,11/8/2022,11/26/2022,26,17,35,1
109,7/24/2023,7/21/2023,7/28/2023,275,272,279,1
109,11/23/2023,11/21/2023,11/26/2023,397,395,400,1
109,5/1/2024,4/24/2024,5/8/2024,557,550,564,1
109,10/16/2024,10/11/2024,10/20/2024,725,720,729,1
109,7/1/2025,6/26/2025,7/6/2025,983,978,988,1
