hsa_nci_id,peak_date,peak_size
1,12/31/2022,1.52
1,12/23/2023,3.94
1,8/31/2024,2.57
1,9/20/2025,1.13
1,1/10/2026,1.61
10,1/21/2023,2.15
10,9/30/2023,1.64
10,12/30/2023,3.11
10,8/31/2024,1.99
10,1/4/2025,1.27
10,9/20/2025,0.67
10,1/3/2026,1.07
101,12/31/2022,5.23
101,9/23/2023,2.56
101,12/30/2023,5.28
101,8/31/2024,2.88
101,1/4/2025,2.08
101,9/6/2025,1.24
101,1/10/2026,1.52
102,12/17/2022,4.92
102,9/2/2023,3.33
102,12/16/2023,3.42
102,8/31/2024,3.84
102,12/28/2024,1.62
102,9/6/2025,1.46
102,2/28/2026,1.25
103,1/14/2023,2.73
103,9/23/2023,3.11
103,12/23/2023,3.9
103,9/7/2024,2.25
103,1/18/2025,1.92
103,1/3/2026,1.34
104,1/21/2023,3.74
104,9/9/2023,2.65
104,12/23/2023,3.17
104,8/24/2024,5.18
104,12/28/2024,1.98
104,9/6/2025,1.5
104,12/20/2025,2.04
105,2/11/2023,4.12
105,9/9/2023,2.81
105,12/30/2023,6.03
105,9/14/2024,5.24
105,1/25/2025,1.94
105,4/5/2025,1.29
105,9/20/2025,1.43
105,2/14/2026,1.48
106,2/11/2023,2.97
106,9/30/2023,1.91
106,12/23/2023,4.78
106,9/7/2024,3.94
106,1/11/2025,1.63
106,9/20/2025,0.9
106,2/7/2026,1.35
107,12/24/2022,6.09
107,9/16/2023,2.49
107,12/30/2023,4.35
107,9/7/2024,2.65
107,1/4/2025,2.16
107,8/30/2025,1.89
107,1/3/2026,1.02
108,10/15/2022,4.2
108,12/31/2022,4.67
108,9/23/2023,2.11
108,12/30/2023,4.5
108,8/17/2024,2.15
108,1/4/2025,1.91
108,9/6/2025,1.07
108,1/3/2026,1.11
109,12/31/2022,4.53
109,9/9/2023,2.1
109,12/30/2023,4.15
109,8/17/2024,3.13
109,2/15/2025,1.22
109,8/23/2025,2.57
109,3/14/2026,0.68
11,12/31/2022,3.91
11,8/26/2023,3.03
11,11/18/2023,4.81
11,9/7/2024,4.03
11,12/28/2024,2.86
11,9/6/2025,0.96
11,1/17/2026,2.25
112,12/31/2022,4.71
112,9/30/2023,2.62
112,12/30/2023,5.98
112,9/14/2024,3.03
112,1/11/2025,2.54
112,9/20/2025,1.03
112,1/10/2026,1.75
114,12/31/2022,3.31
114,9/2/2023,2.35
114,12/16/2023,2.41
114,8/31/2024,2.17
114,1/4/2025,1.04
114,9/6/2025,1.02
114,2/28/2026,1.13
115,12/24/2022,2.11
115,5/13/2023,0.83
115,9/2/2023,2.41
115,12/23/2023,2.71
115,8/10/2024,1.92
115,1/4/2025,1.92
116,12/24/2022,2.82
116,12/9/2023,3.59
116,8/24/2024,2.59
116,12/21/2024,1.82
116,1/10/2026,1.24
119,12/24/2022,4.99
119,8/26/2023,6.3
119,12/16/2023,5.13
119,8/31/2024,6.13
119,2/22/2025,1.36
119,9/13/2025,1.63
119,1/17/2026,2.44
12,12/17/2022,4.17
12,9/2/2023,4.47
12,12/23/2023,5.3
12,9/7/2024,3.47
12,1/18/2025,3.27
12,9/13/2025,1.09
12,1/24/2026,2.08
121,12/31/2022,5.35
121,9/23/2023,2
121,12/30/2023,4.14
121,8/10/2024,1.89
121,1/11/2025,1.31
121,9/13/2025,1.28
121,1/3/2026,0.73
122,12/23/2023,3.06
122,9/7/2024,2.08
122,1/18/2025,1.67
122,1/3/2026,1.29
123,1/7/2023,3.51
123,5/6/2023,1.4
123,9/16/2023,4.09
123,11/25/2023,4.67
123,2/24/2024,2.92
123,8/31/2024,7.16
123,1/11/2025,1.82
123,8/30/2025,0.85
123,12/27/2025,1.87
123,3/28/2026,0.83
124,1/7/2023,4.97
124,1/6/2024,5.39
124,8/24/2024,2.63
124,1/25/2025,1.48
124,1/17/2026,1.02
126,1/7/2023,5.31
126,9/23/2023,2.04
126,1/6/2024,3.49
126,8/3/2024,2.55
126,1/25/2025,1.63
126,9/13/2025,1.15
126,1/10/2026,0.77
127,1/21/2023,5.43
127,9/23/2023,1.63
127,12/30/2023,3.65
127,8/10/2024,2.3
127,1/25/2025,1.27
127,8/30/2025,1.06
127,1/24/2026,1.53
13,12/31/2022,4.36
13,12/2/2023,8.02
13,8/31/2024,6.13
13,12/21/2024,3.05
13,9/6/2025,1.06
13,1/10/2026,2.08
131,12/31/2022,6.69
131,11/18/2023,6.2
131,9/7/2024,5.43
131,12/21/2024,1.72
131,9/6/2025,1.06
131,12/27/2025,1.53
135,12/31/2022,5.27
