season,hsa_nci_id,hsa,hsa_counties,geography,peak_date,peak_size
2023-2024,1,"Allegany (Cumberland), MD - Garrett, MD","Allegany, Garrett",Maryland,12/30/2023,6.37
2023-2024,10,"Albany (Albany), NY - Rensselaer, NY","Albany, Rensselaer",New York,2/24/2024,3.13
2023-2024,101,"Worcester (Worcester), MA - Franklin, MA","Franklin, Worcester",Massachusetts,1/6/2024,3.84
2023-2024,102,"Bourbon (Paris), KY - Nicholas, KY","Bourbon, Nicholas",Kentucky,1/27/2024,5.46
2023-2024,103,"Caledonia, VT - Orleans, VT","Caledonia, Lamoille, Orleans",Vermont,3/2/2024,3.8
2023-2024,104,"Clinton, KY - Cumberland, KY","Clinton, Cumberland",Kentucky,1/6/2024,9.56
2023-2024,105,"Tompkins, NY - Cortland, NY","Cortland, Tompkins",New York,2/17/2024,7.52
2023-2024,106,"Chautauqua, NY",Chautauqua,New York,2/24/2024,8.01
2023-2024,107,"Queen Annes, MD - Talbot, MD","Caroline, Dorchester, Queen Annes, Talbot",Maryland,12/30/2023,13.21
2023-2024,108,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean",New Jersey,12/30/2023,5.72
2023-2024,109,"Prince William (Dale City), VA - Fauquier, VA","Fauquier, Manassas City, Manassas Park City, Prince William",Virginia,12/30/2023,9.39
2023-2024,11,"Floyd, KY - Johnson, KY","Floyd, Johnson, Magoffin",Kentucky,2/24/2024,6.79
2023-2024,112,"Berkshire (Pittsfield), MA",Berkshire,Massachusetts,2/10/2024,3.53
2023-2024,114,"Franklin, KY - Anderson, KY","Anderson, Franklin, Owen",Kentucky,1/6/2024,6.19
2023-2024,115,"Calloway, KY",Calloway,Kentucky,12/23/2023,6.38
2023-2024,116,"Mason, KY - Fleming, KY","Bracken, Fleming, Mason",Kentucky,1/13/2024,8.55
2023-2024,119,"Harrison, KY - Robertson, KY","Harrison, Robertson",Kentucky,2/17/2024,13.67
2023-2024,12,"Massac, IL - Johnson, IL","Johnson, Massac",Illinois,2/17/2024,15.2
2023-2024,121,"Fairfield, CT",Fairfield,Connecticut,12/30/2023,4.61
2023-2024,122,"Rutland, VT",Rutland,Vermont,1/6/2024,3.28
2023-2024,123,"Letcher, KY",Letcher,Kentucky,3/9/2024,7.8
2023-2024,124,"Kent, MD",Kent,Maryland,12/30/2023,9.33
2023-2024,126,"Mercer, NJ",Mercer,New Jersey,12/30/2023,5.79
