season,hsa_nci_id,hsa,hsa_counties,geography,peak_date,peak_size
2023-2024,1,"Allegany (Cumberland), MD - Garrett, MD","Allegany, Garrett",Maryland,12/23/2023,2.46
2023-2024,10,"Albany (Albany), NY - Rensselaer, NY","Albany, Rensselaer",New York,12/23/2023,0.63
2023-2024,101,"Worcester (Worcester), MA - Franklin, MA","Franklin, Worcester",Massachusetts,11/25/2023,1.94
2023-2024,102,"Bourbon (Paris), KY - Nicholas, KY","Bourbon, Nicholas",Kentucky,12/9/2023,4.43
2023-2024,103,"Caledonia, VT - Orleans, VT","Caledonia, Lamoille, Orleans",Vermont,12/23/2023,1.31
2023-2024,104,"Clinton, KY - Cumberland, KY","Clinton, Cumberland",Kentucky,12/9/2023,6.31
2023-2024,105,"Tompkins, NY - Cortland, NY","Cortland, Tompkins",New York,1/6/2024,2.6
2023-2024,106,"Chautauqua, NY",Chautauqua,New York,12/16/2023,3.03
2023-2024,107,"Queen Annes, MD - Talbot, MD","Caroline, Dorchester, Queen Annes, Talbot",Maryland,12/2/2023,4.27
2023-2024,108,"Monmouth, NJ - Ocean (Brick Township), NJ","Monmouth, Ocean",New Jersey,12/16/2023,1.12
2023-2024,109,"Prince William (Dale City), VA - Fauquier, VA","Fauquier, Manassas City, Manassas Park City, Prince William",Virginia,11/18/2023,1.34
2023-2024,11,"Floyd, KY - Johnson, KY","Floyd, Johnson, Magoffin",Kentucky,12/2/2023,2.05
2023-2024,112,"Berkshire (Pittsfield), MA",Berkshire,Massachusetts,11/25/2023,2.64
2023-2024,114,"Franklin, KY - Anderson, KY","Anderson, Franklin, Owen",Kentucky,11/25/2023,0.54
2023-2024,115,"Calloway, KY",Calloway,Kentucky,12/9/2023,0.63
2023-2024,116,"Mason, KY - Fleming, KY","Bracken, Fleming, Mason",Kentucky,1/6/2024,2.37
2023-2024,119,"Harrison, KY - Robertson, KY","Harrison, Robertson",Kentucky,12/2/2023,3.54
2023-2024,12,"Massac, IL - Johnson, IL","Johnson, Massac",Illinois,12/16/2023,5.26
2023-2024,121,"Fairfield, CT",Fairfield,Connecticut,12/2/2023,1.53
2023-2024,122,"Rutland, VT",Rutland,Vermont,1/13/2024,1.7
2023-2024,123,"Letcher, KY",Letcher,Kentucky,1/6/2024,3.33
2023-2024,124,"Kent, MD",Kent,Maryland,12/23/2023,4.37
2023-2024,126,"Mercer, NJ",Mercer,New Jersey,11/18/2023,0.93
2023-2024,127,"Cumberland, NJ",Cumberland,New Jersey,12/16/2023,1.99
2023-2024,13,"Pike, KY",Pike,Kentucky,1/20/2024,1.21
2023-2024,131,"Montgomery, KY - Bath, KY","Bath, Montgomery",Kentucky,12/16/2023,2.93
2023-2024,135,"Stafford, VA - Spotsylvania, VA","Caroline, Fredericksburg City, King George, Spotsylvania, Stafford",Virginia,11/4/2023,1.89
2023-2024,136,"Aroostook, ME",Aroostook,Maine,12/23/2023,2.63
2023-2024,14,"Roanoke City, VA - Roanoke, VA","Amherst, Appomattox, Bedford, Bedford City, Botetourt, Campbell, Craig, Floyd, Franklin, Lynchburg City, Roanoke, Roanoke City, Salem City",Virginia,12/2/2023,1.32
2023-2024,141,"Walker, GA - Catoosa, GA","Catoosa, Dade, Walker",Georgia,12/16/2023,1
2023-2024,143,"Chatham (Savannah), GA - Liberty, GA","Bryan, Chatham, Effingham, Evans, Liberty, Long, Tattnall",Georgia,10/14/2023,0.45
2023-2024,144,"Dougherty (Albany), GA - Lee, GA","Baker, Calhoun, Clay, Dougherty, Early, Lee, Randolph, Terrell, Worth",Georgia,11/4/2023,0.35
2023-2024,145,"Whitfield, GA - Murray, GA","Murray, Whitfield",Georgia,12/30/2023,2.48
2023-2024,146,"DeSoto, MS - Marshall, MS","Benton, DeSoto, Marshall, Panola, Tate, Tunica",Mississippi,12/2/2023,1.11
2023-2024,147,"Knox (Knoxville), TN - Blount, TN","Blount, Knox, Loudon, McMinn, Meigs, Monroe, Sevier, Union",Tennessee,12/2/2023,1.78
2023-2024,148,"Davidson (Nashville-Davidson), TN - Williamson, TN","Cheatham, Davidson, Dickson, Hickman, Humphreys, Robertson, Williamson",Tennessee,11/25/2023,1.42
2023-2024,149,"Forsyth (Winston-Salem), NC - Surry, NC","Davie, Forsyth, Stokes, Surry, Yadkin",North Carolina,12/30/2023,2.71
2023-2024,151,"Sullivan (Kingsport), TN - Hawkins, TN","Hawkins, Sullivan",Tennessee,11/25/2023,1.28
2023-2024,153,"Fulton (Atlanta), GA - DeKalb, GA","Clayton, DeKalb, Fulton, Gwinnett",Georgia,10/21/2023,0.96
2023-2024,154,"Floyd, GA - Bartow, GA","Bartow, Chattooga, Floyd, Gordon, Polk",Georgia,11/11/2023,1.17
2023-2024,157,"Hall, GA - Habersham, GA","Banks, Dawson, Habersham, Hall, Lumpkin, Towns, Union, White",Georgia,11/11/2023,1.04
2023-2024,16,"Baltimore, MD - Baltimore City, MD","Anne Arundel, Baltimore, Baltimore City, Calvert, Carroll, Howard",Maryland,11/25/2023,1.55
2023-2024,160,"Richland (Columbia), SC - Lexington, SC","Fairfield, Lexington, Newberry, Richland",South Carolina,11/25/2023,1.36
2023-2024,164,"Morgan, GA - Greene, GA","Greene, Morgan",Georgia,10/28/2023,1.48
2023-2024,167,"Mecklenburg (Charlotte), NC - Union, NC","Anson, Mecklenburg, Union",North Carolina,11/25/2023,1.23
2023-2024,168,"New Hanover (Wilmington), NC - Brunswick, NC","Brunswick, New Hanover, Pender",North Carolina,11/18/2023,1.71
2023-2024,169,"Washington (Johnson City), TN - Carter, TN","Carter, Unicoi, Washington",Tennessee,11/25/2023,1.99
2023-2024,17,"Penobscot (Bangor), ME - Hancock, ME","Hancock, Penobscot, Piscataquis, Washington",Maine,1/6/2024,1.39
2023-2024,170,"Durham (Durham), NC - Granville, NC","Durham, Granville, Person, Vance, Warren",North Carolina,12/2/2023,1.4
2023-2024,174,"Ware, GA - Pierce, GA","Bacon, Clinch, Pierce, Ware",Georgia,3/30/2024,1.12
2023-2024,176,"Orangeburg, SC - Bamberg, SC","Allendale, Bamberg, Calhoun, Orangeburg",South Carolina,11/4/2023,2.53
2023-2024,178,"Thomas, GA - Mitchell, GA","Grady, Mitchell, Thomas",Georgia,10/7/2023,0.34
